Date,District,Confirmed,Confirmed-total
07/23/2020,Mulanje,0,30
07/23/2020,Mwanza,0,28
07/23/2020,Mwanza PoE,0,173
07/23/2020,Mzimba South,1,446
07/23/2020,Mzimba South,1,100
07/23/2020,Neno,0,40
07/23/2020,Nkhata Bay,11,118
07/23/2020,Nkhotakota,0,32
07/23/2020,Nsanje,2,33
07/23/2020,Ntcheu,0,37
07/23/2020,Ntchisi,0,1
07/23/2020,Phalombe,0,9
07/23/2020,Rumphi,1,26
07/23/2020,Salima,0,23
07/23/2020,Thyolo,0,46
07/23/2020,Zomba,6,84
07/24/2020,Balaka,0,38
07/24/2020,Blantyre,28,1021
07/24/2020,Chikwawa,0,20
07/24/2020,Chiradzulu,0,17
07/24/2020,Chitipa,0,46
07/24/2020,Dedza,0,26
07/24/2020,Dowa,0,58
07/24/2020,Karonga,0,39
07/24/2020,Kasungu,1,38
07/24/2020,Likoma,0,2
07/24/2020,Lilongwe,17,697
07/24/2020,Machinga,6,51
07/24/2020,Mangochi,2,114
07/24/2020,Mchinji,2,49
07/24/2020,Mulanje,0,30
07/24/2020,Mwanza,2,30
07/24/2020,Mwanza PoE,0,173
07/24/2020,Mzimba North,0,446
07/24/2020,Mzimba South,1,101
07/24/2020,Neno,0,40
07/24/2020,Nkhata Bay,6,124
07/24/2020,Nkhotakota,1,33
07/24/2020,Nsanje,0,33
07/24/2020,Ntcheu,0,37
07/24/2020,Ntchisi,1,2
07/24/2020,Phalombe,0,9
07/24/2020,Rumphi,0,26
07/24/2020,Salima,1,24
07/24/2020,Thyolo,0,46
07/24/2020,Zomba,0,84
07/25/2020,Balaka,0,38
07/25/2020,Blantyre,39,1061
07/25/2020,Chikwawa,0,20
07/25/2020,Chiradzulu,0,17
07/25/2020,Chitipa,0,46
07/25/2020,Dedza,0,26
07/25/2020,Dowa,0,58
07/25/2020,Karonga,3,42
07/25/2020,Kasungu,1,39
07/25/2020,Likoma,0,2
07/25/2020,Lilongwe,27,724
07/25/2020,Machinga,0,51
07/25/2020,Mangochi,0,114
07/25/2020,Mchinji,0,49
07/25/2020,Mulanje,1,31
07/25/2020,Mwanza,1,30
07/25/2020,Mwanza PoE,0,173
07/25/2020,Mzimba North,14,460
07/25/2020,Mzimba South,0,101
07/25/2020,Neno,0,40
07/25/2020,Nkhata Bay,4,128
07/25/2020,Nkhotakota,1,34
07/25/2020,Nsanje,1,34
07/25/2020,Ntcheu,0,37
07/25/2020,Ntchisi,0,2
07/25/2020,Phalombe,0,9
07/25/2020,Rumphi,0,26
07/25/2020,Salima,1,25
07/25/2020,Thyolo,2,48
07/25/2020,Zomba,8,92
07/26/2020,Balaka,0,38
07/26/2020,Blantyre,34,1095
07/26/2020,Chikwawa,0,26
07/26/2020,Chiradzulu,0,17
07/26/2020,Chitipa,0,46
07/26/2020,Dedza,0,30
07/26/2020,Dowa,0,58
07/26/2020,Karonga,8,50
07/26/2020,Kasungu,1,40
07/26/2020,Likoma,0,2
07/26/2020,Lilongwe,17,742
07/26/2020,Machinga,6,57
07/26/2020,Mangochi,10,124
07/26/2020,Mchinji,0,49
07/26/2020,Mulanje,0,31
07/26/2020,Mwanza,0,20
07/26/2020,Mwanza PoE,0,173
07/26/2020,Mzimba North,5,465
07/26/2020,Mzimba South,4,105
07/26/2020,Neno,15,55
07/26/2020,Nkhata Bay,1,129
07/26/2020,Nkhotakota,0,34
07/26/2020,Nsanje,0,34
07/26/2020,Ntcheu,1,38
07/26/2020,Ntchisi,0,2
07/26/2020,Phalombe,0,9
07/26/2020,Rumphi,0,26
07/26/2020,Salima,1,25
07/26/2020,Thyolo,0,48
07/26/2020,Zomba,4,96
07/27/2020,Balaka,0,38
07/27/2020,Blantyre,7,1102
07/27/2020,Chikwawa,0,26
07/27/2020,Chiradzulu,0,17
07/27/2020,Chitipa,0,46
07/27/2020,Dedza,0,30
07/27/2020,Dowa,0,58
07/27/2020,Karonga,0,50
07/27/2020,Kasungu,0,40
07/27/2020,Likoma,0,2
07/27/2020,Lilongwe,12,754
07/27/2020,Machinga,0,57
07/27/2020,Mangochi,0,124
07/27/2020,Mchinji,0,49
07/27/2020,Mulanje,0,31
07/27/2020,Mwanza,0,20
07/27/2020,Mwanza PoE,0,173
07/27/2020,Mzimba North,6,471
07/27/2020,Mzimba South,0,105
07/27/2020,Neno,8,63
07/27/2020,Nkhata Bay,4,133
07/27/2020,Nkhotakota,0,34
07/27/2020,Nsanje,0,34
07/27/2020,Ntcheu,0,38
07/27/2020,Ntchisi,0,2
07/27/2020,Phalombe,0,9
07/27/2020,Rumphi,1,27
07/27/2020,Salima,7,32
07/27/2020,Thyolo,0,48
07/27/2020,Zomba,0,96
07/28/2020,Balaka,0,38
07/28/2020,Blantyre,15,1119
07/28/2020,Chikwawa,0,26
07/28/2020,Chiradzulu,0,17
07/28/2020,Chitipa,2,48
07/28/2020,Dedza,0,31
07/28/2020,Dowa,0,58
07/28/2020,Karonga,1,51
07/28/2020,Kasungu,0,40
07/28/2020,Likoma,0,2
07/28/2020,Lilongwe,6,760
07/28/2020,Machinga,0,58
07/28/2020,Mangochi,0,125
07/28/2020,Mchinji,0,49
07/28/2020,Mulanje,0,32
07/28/2020,Mwanza,1,22
07/28/2020,Mwanza PoE,0,173
07/28/2020,Mzimba ,0,105
07/28/2020,Mzimba North,1,472
07/28/2020,Neno,1,56
