Country,Date,District,Confirmed,Confirmed-total,Deaths,Deaths-total,Recovered,Recovered-total,Imported,Local,New Arrival-T,Cumulative high-risk traveller,Contacts on Follow-up,Contacts discharged,Samples Recieved,Total Tested,Positive,Negative,Average Tests,Age group,Male,Female,Unknown,Local Transmission,Imported
Malawi,20 July 2020,Blantyre,24,864,2,27,16,130,130,734,,,,,,,,,,,,,,,
Malawi,20 July 2020,Chikwawa,1,20,0,0,0,17,16,4,,,,,,,,,,,,,,,
Malawi,20 July 2020,Chiradzulu,0,13,0,0,0,14,12,1,,,,,,,,,,,,,,,
Malawi,20 July 2020,Chitipa,0,43,0,2,0,35,4,39,,,,,,,,,,,,,,,
Malawi,20 July 2020,Dedza,0,26,0,0,0,13,23,3,,,,,,,,,,,,,,,
Malawi,20 July 2020,Dowa,0,49,0,1,0,4,21,28,,,,,,,,,,,,,,,
Malawi,20 July 2020,Karonga,2,34,0,1,0,10,12,22,,,,,,,,,,,,,,,
Malawi,20 July 2020,Kasungu,0,30,0,1,0,5,14,16,,,,,,,,,,,,,,,
Malawi,20 July 2020,Likoma,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,20 July 2020,Lilongwe,4,581,0,10,0,307,87,494,,,,,,,,,,,,,,,
Malawi,20 July 2020,Machinga,0,44,0,0,0,26,44,0,,,,,,,,,,,,,,,
Malawi,20 July 2020,Mangochi,3,111,0,0,0,61,83,28,,,,,,,,,,,,,,,
Malawi,20 July 2020,Mchinji,1,45,0,5,0,12,5,40,,,,,,,,,,,,,,,
Malawi,20 July 2020,Mulanje,0,26,0,1,0,10,8,18,,,,,,,,,,,,,,,
Malawi,20 July 2020,Mwanza,2,28,0,1,0,4,13,15,,,,,,,,,,,,,,,
Malawi,20 July 2020,Mwanza PoE,0,173,,0,,167,173,0,,,,,,,,,,,,,,,
Malawi,20 July 2020,Mzimba North,1,416,0,10,0,172,11,405,,,,,,,,,,,,,,,
Malawi,20 July 2020,Mzimba South,4,99,0,1,0,18,29,70,,,,,,,,,,,,,,,
Malawi,20 July 2020,Neno,4,37,0,0,0,10,2,35,,,,,,,,,,,,,,,
Malawi,20 July 2020,Nkhata Bay,1,90,0,1,9,31,30,60,,,,,,,,,,,,,,,
Malawi,20 July 2020,Nkhotakota,0,32,0,0,0,22,29,3,,,,,,,,,,,,,,,
Malawi,20 July 2020,Nsanje,0,31,0,0,0,19,23,8,,,,,,,,,,,,,,,
Malawi,20 July 2020,Ntcheu,0,37,0,0,2,13,26,11,,,,,,,,,,,,,,,
Malawi,20 July 2020,Ntchisi,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,
Malawi,20 July 2020,Phalombe,0,9,0,0,0,5,3,6,,,,,,,,,,,,,,,
Malawi,20 July 2020,Rumphi,2,24,0,0,0,1,7,17,,,,,,,,,,,,,,,
Malawi,20 July 2020,Salima,0,23,0,0,0,19,18,5,,,,,,,,,,,,,,,
Malawi,20 July 2020,Thyolo,0,46,0,1,0,28,26,20,,,,,,,,,,,,,,,
Malawi,20 July 2020,Zomba,3,75,0,1,0,12,26,49,,,,,,,,,,,,,,,
Malawi,21 July 2020,Balaka,0,37,0,1,0,15,34,3,,,,,,,,,,,,,,,
Malawi,21 July 2020,Blantyre,18,882,1,28,5,135,130,752,,,,,,,,,,,,,,,
Malawi,21 July 2020,Chikwawa,0,20,0,0,0,17,16,4,,,,,,,,,,,,,,,
Malawi,21 July 2020,Chiradzulu,1,14,0,0,6,20,12,2,,,,,,,,,,,,,,,
Malawi,21 July 2020,Chitipa,0,43,0,2,1,36,4,39,,,,,,,,,,,,,,,
Malawi,21 July 2020,Dedza,0,26,0,0,4,17,23,3,,,,,,,,,,,,,,,
Malawi,21 July 2020,Dowa,2,51,0,1,3,7,21,30,,,,,,,,,,,,,,,
Malawi,21 July 2020,Karonga,1,35,0,1,1,11,12,23,,,,,,,,,,,,,,,
Malawi,21 July 2020,Kasungu,2,32,0,1,0,5,14,18,,,,,,,,,,,,,,,
